trace_id,user_id,level,platform,created_at,points,moves,unique_cells,revisits,duration_ms,duration_s,ms_per_move,median_dt_ms,thinking_moves,thinking_frac,thinking_ms,execution_ms,thinking_time_frac,longest_pause_ms,bbox_w,bbox_h,pattern,pattern_conf,age,style,gaming,hand,optimization,optimal_moves,optimality,redundancy
255,y02wizg975,round2,desktop,2026-06-18 14:51:05.382863+00,50,49,49,1,21136,21.136,431.3,272,4,0.0816,8205,12931,0.3882,3055,8,8,random_walk,0.4718,,,,,,48,0.9796,1.0208
256,i55vkl601r,tutorial,mobile,2026-06-18 14:55:33.20542+00,32,31,32,0,36129,36.129,1165.5,666,3,0.0968,18901,17228,0.5232,13519,6,6,spiral,1.0,18-29,I follow a set pattern,Rarely or never,Right,Rarely or never,31,1.0,1.0
257,b65olzy69d,tutorial,mobile,2026-06-18 14:56:26.79831+00,32,31,32,0,28106,28.106,906.6,484,6,0.1935,16353,11753,0.5818,7451,6,6,spiral,1.0,18-29,I have a rough approach but adapt as I go,Regularly,Right,Rarely or never,31,1.0,1.0
258,tth2151o49,tutorial,desktop,2026-06-18 14:57:00.443184+00,32,31,32,0,7738,7.738,249.6,184,1,0.0323,1643,6095,0.2123,1643,6,6,snake,0.6055,30-44,I just start and figure it out,Rarely or never,Right,Regularly,31,1.0,1.0
259,tth2151o49,round1,desktop,2026-06-18 14:57:14.809417+00,28,27,25,3,9767,9.767,361.7,240,1,0.037,1535,8232,0.1572,1535,6,6,spiral,0.998,30-44,I just start and figure it out,Rarely or never,Right,Regularly,25,0.9259,1.08
260,tth2151o49,round2,desktop,2026-06-18 14:57:33.850413+00,53,52,49,4,14536,14.536,279.5,184,2,0.0385,3240,11296,0.2229,2072,8,8,snake,0.9938,30-44,I just start and figure it out,Rarely or never,Right,Regularly,48,0.9231,1.0833
261,3miwef3gio,tutorial,desktop,2026-06-18 14:58:20.31621+00,32,31,32,0,11550,11.55,372.6,212,2,0.0645,3631,7919,0.3144,2477,6,6,spiral,1.0,,,,,,31,1.0,1.0
262,trjopd1wak,tutorial,mobile,2026-06-18 14:58:22.143223+00,32,31,32,0,38231,38.231,1233.3,533,7,0.2258,25932,12299,0.6783,14182,6,6,snake,0.8507,,,,,,31,1.0,1.0
263,3miwef3gio,round1,desktop,2026-06-18 14:58:51.517629+00,28,27,25,3,27935,27.935,1034.6,414,4,0.1481,18542,9393,0.6638,6527,6,6,spiral,0.5594,,,,,,25,0.9259,1.08
264,b65olzy69d,round1,mobile,2026-06-18 14:58:53.959726+00,26,25,25,1,143701,143.701,5748.0,755,5,0.2,130971,12730,0.9114,121705,6,6,spiral,0.9993,18-29,I have a rough approach but adapt as I go,Regularly,Right,Rarely or never,25,1.0,1.0
265,i55vkl601r,round2,mobile,2026-06-18 14:58:54.124364+00,50,49,49,1,63665,63.665,1299.3,683,12,0.2449,40254,23411,0.6323,10476,8,8,spiral,1.0,18-29,I follow a set pattern,Rarely or never,Right,Rarely or never,48,0.9796,1.0208
266,28omogvh0u,tutorial,desktop,2026-06-18 14:59:00.161896+00,42,41,32,10,12005,12.005,292.8,189,1,0.0244,1072,10933,0.0893,1072,6,6,spiral,0.9997,30-44,I have a rough approach but adapt as I go,Sometimes,Right,Sometimes,31,0.7561,1.3226
267,28omogvh0u,round1,desktop,2026-06-18 14:59:18.730429+00,34,33,25,9,14340,14.34,434.5,394,1,0.0303,1809,12531,0.1262,1809,6,6,spiral,0.9998,30-44,I have a rough approach but adapt as I go,Sometimes,Right,Sometimes,25,0.7576,1.32
268,trjopd1wak,round1,mobile,2026-06-18 14:59:34.111325+00,29,28,25,4,29685,29.685,1060.2,450,8,0.2857,21684,8001,0.7305,4517,6,6,spiral,0.9212,,,,,,25,0.8929,1.12
269,28omogvh0u,round2,desktop,2026-06-18 14:59:45.674334+00,72,71,49,23,22108,22.108,311.4,208,2,0.0282,2923,19185,0.1322,1745,8,8,spiral,0.9978,30-44,I have a rough approach but adapt as I go,Sometimes,Right,Sometimes,48,0.6761,1.4792
270,b65olzy69d,round2,mobile,2026-06-18 14:59:46.776844+00,49,48,49,0,48805,48.805,1016.8,536,9,0.1875,28292,20513,0.5797,15247,8,8,random_walk,0.8172,18-29,I have a rough approach but adapt as I go,Regularly,Right,Rarely or never,48,1.0,1.0
271,trjopd1wak,round2,mobile,2026-06-18 15:00:26.324157+00,52,51,49,3,49726,49.726,975.0,499,13,0.2549,31414,18312,0.6317,8228,8,8,spiral,0.9479,,,,,,48,0.9412,1.0625
272,ycwzk9yari,tutorial,mobile,2026-06-18 15:02:21.037762+00,32,31,32,0,16421,16.421,529.7,414,2,0.0645,4256,12165,0.2592,3220,6,6,spiral,1.0,30-44,I have a rough approach but adapt as I go,Sometimes,Right,Sometimes,31,1.0,1.0
273,ycwzk9yari,round1,mobile,2026-06-18 15:02:56.260559+00,28,27,25,3,31842,31.842,1179.3,538,7,0.2593,22110,9732,0.6944,9564,6,6,spiral,0.9983,30-44,I have a rough approach but adapt as I go,Sometimes,Right,Sometimes,25,0.9259,1.08
274,ycwzk9yari,round2,mobile,2026-06-18 15:04:13.870733+00,56,55,49,7,74149,74.149,1348.2,522,13,0.2364,53251,20898,0.7182,26254,8,8,spiral,0.9868,30-44,I have a rough approach but adapt as I go,Sometimes,Right,Sometimes,48,0.8727,1.1458
275,nn1uwbbnvr,tutorial,mobile,2026-06-18 15:04:55.486881+00,36,35,32,4,51748,51.748,1478.5,832,14,0.4,39056,12692,0.7547,9774,6,6,spiral,1.0,18-29,I have a rough approach but adapt as I go,Rarely or never,Right,Sometimes,31,0.8857,1.129
276,nn1uwbbnvr,round1,mobile,2026-06-18 15:05:51.962411+00,30,29,25,5,50313,50.313,1734.9,901,13,0.4483,40402,9911,0.803,11654,6,6,spiral,0.9931,18-29,I have a rough approach but adapt as I go,Rarely or never,Right,Sometimes,25,0.8621,1.16
277,k2nehxnqee,tutorial,desktop,2026-06-18 15:06:18.03596+00,32,31,32,0,31385,31.385,1012.4,387,6,0.1935,21656,9729,0.69,9157,6,6,spiral,1.0,60+,I have a rough approach but adapt as I go,Sometimes,Right,Rarely or never,31,1.0,1.0
278,mf4jkq9jk8,tutorial,mobile,2026-06-18 15:06:39.818174+00,37,36,32,5,28140,28.14,781.7,421,8,0.2222,17525,10615,0.6228,5629,6,6,snake,0.6299,18-29,I have a rough approach but adapt as I go,Rarely or never,Right,Sometimes,31,0.8611,1.1613
279,nn1uwbbnvr,round2,mobile,2026-06-18 15:06:49.209075+00,53,52,49,4,53682,53.682,1032.3,734,15,0.2885,30589,23093,0.5698,6435,8,8,spiral,0.9917,18-29,I have a rough approach but adapt as I go,Rarely or never,Right,Sometimes,48,0.9231,1.0833
280,mz88aq9ir7,tutorial,desktop,2026-06-18 15:07:05.055009+00,32,31,32,0,14288,14.288,460.9,248,2,0.0645,7049,7239,0.4934,5401,6,6,spiral,1.0,30-44,I follow a set pattern,Rarely or never,Right,Rarely or never,31,1.0,1.0
281,k2nehxnqee,round1,desktop,2026-06-18 15:07:10.534819+00,34,33,25,9,46558,46.558,1410.8,780,15,0.4545,38580,7978,0.8286,5927,6,6,spiral,0.6304,60+,I have a rough approach but adapt as I go,Sometimes,Right,Rarely or never,25,0.7576,1.32
282,mf4jkq9jk8,round1,mobile,2026-06-18 15:07:19.314364+00,35,34,25,10,32242,32.242,948.3,688,10,0.2941,19221,13021,0.5961,4730,6,6,spiral,0.9179,18-29,I have a rough approach but adapt as I go,Rarely or never,Right,Sometimes,25,0.7353,1.36
283,mz88aq9ir7,round1,desktop,2026-06-18 15:07:37.412627+00,26,25,25,1,26736,26.736,1069.4,336,3,0.12,19472,7264,0.7283,9104,6,6,spiral,0.9993,30-44,I follow a set pattern,Rarely or never,Right,Rarely or never,25,1.0,1.0
284,mf4jkq9jk8,round2,mobile,2026-06-18 15:08:07.86253+00,54,53,49,5,44838,44.838,846.0,487,12,0.2264,26627,18211,0.5938,9730,8,8,snake,0.872,18-29,I have a rough approach but adapt as I go,Rarely or never,Right,Sometimes,48,0.9057,1.1042
285,mz88aq9ir7,round2,desktop,2026-06-18 15:08:11.738364+00,50,49,49,1,29199,29.199,595.9,305,6,0.1224,13849,15350,0.4743,4032,8,8,spiral,1.0,30-44,I follow a set pattern,Rarely or never,Right,Rarely or never,48,0.9796,1.0208
286,1z5re3l6ym,tutorial,desktop,2026-06-18 15:08:19.612218+00,34,33,32,2,39606,39.606,1200.2,300,4,0.1212,30667,8939,0.7743,17013,6,6,spiral,1.0,,,,,,31,0.9394,1.0645
287,ffkg7a8vtj,tutorial,mobile,2026-06-18 15:08:45.107795+00,32,31,32,0,34840,34.84,1123.9,612,7,0.2258,21083,13757,0.6051,7710,6,6,random_walk,0.8428,18-29,I have a rough approach but adapt as I go,Regularly,Right,Rarely or never,31,1.0,1.0
288,1z5re3l6ym,round1,desktop,2026-06-18 15:08:55.021552+00,30,29,25,5,31215,31.215,1076.4,370,5,0.1724,21450,9765,0.6872,15623,6,6,spiral,0.9908,,,,,,25,0.8621,1.16
289,njhod8v2si,tutorial,mobile,2026-06-18 15:09:04.472518+00,32,31,32,0,22740,22.74,733.5,333,2,0.0645,12434,10306,0.5468,11231,6,6,spiral,1.0,30-44,I have a rough approach but adapt as I go,Rarely or never,Right,Regularly,31,1.0,1.0
290,1z5re3l6ym,round2,desktop,2026-06-18 15:09:31.28145+00,52,51,49,3,31165,31.165,611.1,301,3,0.0588,14557,16608,0.4671,9781,8,8,spiral,1.0,,,,,,48,0.9412,1.0625
291,mz88aq9ir7,bonus1,desktop,2026-06-18 15:09:59.874422+00,93,92,84,9,67384,67.384,732.4,288,12,0.1304,44454,22930,0.6597,11457,10,10,spiral,0.633,30-44,I follow a set pattern,Rarely or never,Right,Rarely or never,86,0.9348,1.0698
292,mf4jkq9jk8,bonus1,mobile,2026-06-18 15:10:17.395835+00,110,109,84,26,75906,75.906,696.4,485,20,0.1835,34867,41039,0.4593,3600,10,10,snake,0.9999,18-29,I have a rough approach but adapt as I go,Rarely or never,Right,Sometimes,86,0.789,1.2674
293,njhod8v2si,round1,mobile,2026-06-18 15:10:27.18037+00,26,25,25,1,76452,76.452,3058.1,849,10,0.4,67884,8568,0.8879,23720,6,6,random_walk,0.6137,30-44,I have a rough approach but adapt as I go,Rarely or never,Right,Regularly,25,1.0,1.0
294,jrcuy0dkh7,tutorial,desktop,2026-06-18 15:10:31.928313+00,32,31,32,0,17723,17.723,571.7,345,3,0.0968,8333,9390,0.4702,3729,6,6,spiral,1.0,18-29,I've never done either,Rarely or never,Right,Sometimes,31,1.0,1.0
295,k2nehxnqee,round2,desktop,2026-06-18 15:10:32.047133+00,49,48,49,0,196247,196.247,4088.5,1015,25,0.5208,185670,10577,0.9461,114800,8,8,random_walk,0.8172,60+,I have a rough approach but adapt as I go,Sometimes,Right,Rarely or never,48,1.0,1.0
296,jrcuy0dkh7,round1,desktop,2026-06-18 15:10:55.810908+00,26,25,25,1,20035,20.035,801.4,405,3,0.12,10031,10004,0.5007,3542,6,6,random_walk,0.6137,18-29,I've never done either,Rarely or never,Right,Sometimes,25,1.0,1.0
297,njhod8v2si,round2,mobile,2026-06-18 15:11:23.679483+00,58,57,49,9,52875,52.875,927.6,401,10,0.1754,33244,19631,0.6287,7400,8,8,spiral,0.9889,30-44,I have a rough approach but adapt as I go,Rarely or never,Right,Regularly,48,0.8421,1.1875
298,jrcuy0dkh7,round2,desktop,2026-06-18 15:11:25.16251+00,49,48,49,0,26179,26.179,545.4,346,6,0.125,10982,15197,0.4195,2796,8,8,random_walk,0.9339,18-29,I've never done either,Rarely or never,Right,Sometimes,48,1.0,1.0
299,ffkg7a8vtj,round1,mobile,2026-06-18 15:11:38.337068+00,26,25,25,1,168322,168.322,6732.9,595,7,0.28,158820,9502,0.9435,142425,6,6,spiral,0.9993,18-29,I have a rough approach but adapt as I go,Regularly,Right,Rarely or never,25,1.0,1.0
300,mf4jkq9jk8,bonus2,mobile,2026-06-18 15:11:47.128387+00,144,143,121,23,86563,86.563,605.3,314,22,0.1538,43002,43561,0.4968,5693,12,12,snake,0.7491,18-29,I have a rough approach but adapt as I go,Rarely or never,Right,Sometimes,120,0.8392,1.1917
301,1z5re3l6ym,bonus1,desktop,2026-06-18 15:11:51.818127+00,91,90,84,7,41978,41.978,466.4,328,6,0.0667,13847,28131,0.3299,4731,10,10,snake,0.9851,,,,,,86,0.9556,1.0465
302,mz88aq9ir7,bonus2,desktop,2026-06-18 15:11:57.883134+00,123,122,121,2,114586,114.586,939.2,337,18,0.1475,75462,39124,0.6586,32729,12,12,snake,0.9283,30-44,I follow a set pattern,Rarely or never,Right,Rarely or never,120,0.9836,1.0167
303,8uaq2tvc4j,tutorial,mobile,2026-06-18 15:12:13.867769+00,32,31,32,0,15070,15.07,486.1,350,3,0.0968,4363,10707,0.2895,1729,6,6,spiral,1.0,18-29,I have a rough approach but adapt as I go,Rarely or never,Right,Rarely or never,31,1.0,1.0
304,uodk4ohiby,tutorial,mobile,2026-06-18 15:12:34.987126+00,32,31,32,0,43389,43.389,1399.6,433,8,0.2581,33583,9806,0.774,16874,6,6,spiral,0.9999,45-59,I have a rough approach but adapt as I go,Rarely or never,Right,Sometimes,31,1.0,1.0
305,8uaq2tvc4j,round1,mobile,2026-06-18 15:12:36.69679+00,28,27,25,3,20604,20.604,763.1,650,8,0.2963,10399,10205,0.5047,1615,6,6,spiral,0.9978,18-29,I have a rough approach but adapt as I go,Rarely or never,Right,Rarely or never,25,0.9259,1.08
306,6o4dycfqtu,tutorial,mobile,2026-06-18 15:12:56.647395+00,32,31,32,0,19228,19.228,620.3,318,1,0.0323,8312,10916,0.4323,8312,6,6,spiral,1.0,30-44,I just start and figure it out,Sometimes,Right,Sometimes,31,1.0,1.0
307,8uaq2tvc4j,round2,mobile,2026-06-18 15:13:03.820061+00,59,58,49,10,24721,24.721,426.2,334,4,0.069,4382,20339,0.1773,1184,8,8,spiral,1.0,18-29,I have a rough approach but adapt as I go,Rarely or never,Right,Rarely or never,48,0.8276,1.2083
308,ffkg7a8vtj,round2,mobile,2026-06-18 15:13:31.736039+00,49,48,49,0,108726,108.726,2265.1,629,14,0.2917,90870,17856,0.8358,39964,8,8,random_walk,0.9339,18-29,I have a rough approach but adapt as I go,Regularly,Right,Rarely or never,48,1.0,1.0
309,uodk4ohiby,round1,mobile,2026-06-18 15:13:42.557493+00,32,31,25,7,61625,61.625,1987.9,951,15,0.4839,52210,9415,0.8472,8701,6,6,spiral,0.9531,45-59,I have a rough approach but adapt as I go,Rarely or never,Right,Sometimes,25,0.8065,1.24
310,e16aadde09,tutorial,desktop,2026-06-18 15:13:43.200269+00,32,31,32,0,7453,7.453,240.4,162,1,0.0323,1352,6101,0.1814,1352,6,6,spiral,0.9422,,,,,,31,1.0,1.0
311,k2nehxnqee,bonus1,desktop,2026-06-18 15:13:45.260916+00,90,89,84,6,125669,125.669,1412.0,465,22,0.2472,95096,30573,0.7567,25920,10,10,random_walk,0.9033,60+,I have a rough approach but adapt as I go,Sometimes,Right,Rarely or never,86,0.9663,1.0349
312,e16aadde09,round1,desktop,2026-06-18 15:13:46.361274+00,28,27,25,3,6839,6.839,253.3,199,1,0.037,1284,5555,0.1877,1284,6,6,spiral,0.9978,,,,,,25,0.9259,1.08
313,mz88aq9ir7,bonus3,desktop,2026-06-18 15:13:49.50434+00,188,187,176,12,106736,106.736,570.8,312,20,0.107,48868,57868,0.4578,7704,14,14,snake,1.0,30-44,I follow a set pattern,Rarely or never,Right,Rarely or never,176,0.9412,1.0625
314,mf4jkq9jk8,bonus3,mobile,2026-06-18 15:13:59.330232+00,205,204,176,29,128835,128.835,631.5,482,31,0.152,51477,77358,0.3996,4680,14,14,snake,0.9775,18-29,I have a rough approach but adapt as I go,Rarely or never,Right,Sometimes,176,0.8627,1.1591
315,e16aadde09,round2,desktop,2026-06-18 15:14:00.99515+00,53,52,49,4,12214,12.214,234.9,183,1,0.0192,1600,10614,0.131,1600,8,8,spiral,0.9997,,,,,,48,0.9231,1.0833
316,53xqq0whs6,tutorial,mobile,2026-06-18 15:14:32.200889+00,32,31,32,0,41870,41.87,1350.6,417,3,0.0968,30705,11165,0.7333,26523,6,6,spiral,1.0,18-29,I follow a set pattern,Sometimes,Right,Sometimes,31,1.0,1.0
317,e16aadde09,bonus1,desktop,2026-06-18 15:15:23.809408+00,101,100,84,17,22098,22.098,221.0,181,1,0.01,1620,20478,0.0733,1620,10,10,spiral,0.688,,,,,,86,0.86,1.1628
318,7zipyjyfp8,tutorial,mobile,2026-06-18 15:15:24.386644+00,32,31,32,0,21476,21.476,692.8,517,3,0.0968,6650,14826,0.3096,3273,6,6,spiral,1.0,18-29,I have a rough approach but adapt as I go,Regularly,Right,Rarely or never,31,1.0,1.0
319,uodk4ohiby,round2,mobile,2026-06-18 15:15:58.990894+00,52,51,49,3,131717,131.717,2582.7,950,24,0.4706,119288,12429,0.9056,19621,8,8,spiral,0.9999,45-59,I have a rough approach but adapt as I go,Rarely or never,Right,Sometimes,48,0.9412,1.0625
320,12bzm1il9n,tutorial,desktop,2026-06-18 15:16:07.604874+00,32,31,32,0,16293,16.293,525.6,363,3,0.0968,5817,10476,0.357,3609,6,6,spiral,1.0,18-29,I have a rough approach but adapt as I go,Sometimes,Right,Regularly,31,1.0,1.0
321,e16aadde09,bonus2,desktop,2026-06-18 15:16:11.956684+00,133,132,121,12,45580,45.58,345.3,205,5,0.0379,16001,29579,0.3511,7579,12,12,snake,1.0,,,,,,120,0.9091,1.1
322,k2nehxnqee,bonus2,desktop,2026-06-18 15:16:20.593988+00,125,124,121,4,151254,151.254,1219.8,445,20,0.1613,108720,42534,0.7188,34846,12,12,snake,0.9961,60+,I have a rough approach but adapt as I go,Sometimes,Right,Rarely or never,120,0.9677,1.0333
323,ffkg7a8vtj,bonus1,mobile,2026-06-18 15:16:25.701907+00,89,88,84,5,93051,93.051,1057.4,478,18,0.2045,58939,34112,0.6334,17858,10,10,random_walk,0.9948,18-29,I have a rough approach but adapt as I go,Regularly,Right,Rarely or never,86,0.9773,1.0233
324,12bzm1il9n,round1,desktop,2026-06-18 15:16:31.530062+00,26,25,25,1,18677,18.677,747.1,392,5,0.2,10121,8556,0.5419,2928,6,6,random_walk,0.6137,18-29,I have a rough approach but adapt as I go,Sometimes,Right,Regularly,25,1.0,1.0
325,53xqq0whs6,round1,mobile,2026-06-18 15:16:32.494993+00,28,27,25,3,115078,115.078,4262.1,583,9,0.3333,106011,9067,0.9212,47189,6,6,spiral,0.814,18-29,I follow a set pattern,Sometimes,Right,Sometimes,25,0.9259,1.08
326,6o4dycfqtu,round1,mobile,2026-06-18 15:16:38.857324+00,28,27,25,3,218334,218.334,8086.4,519,5,0.1852,207752,10582,0.9515,198046,6,6,spiral,0.9978,30-44,I just start and figure it out,Sometimes,Right,Sometimes,25,0.9259,1.08
327,e16aadde09,bonus3,desktop,2026-06-18 15:17:00.302289+00,189,188,176,13,46010,46.01,244.7,204,2,0.0106,2250,43760,0.0489,1170,14,14,snake,0.9975,,,,,,176,0.9362,1.0682
328,12bzm1il9n,round2,desktop,2026-06-18 15:17:03.754703+00,60,59,49,11,26772,26.772,453.8,356,5,0.0847,7345,19427,0.2744,1681,8,8,snake,0.7364,18-29,I have a rough approach but adapt as I go,Sometimes,Right,Regularly,48,0.8136,1.2292
329,6o4dycfqtu,round2,mobile,2026-06-18 15:17:18.794258+00,56,55,49,7,34344,34.344,624.4,385,9,0.1636,16210,18134,0.472,3913,8,8,random_walk,0.5712,30-44,I just start and figure it out,Sometimes,Right,Sometimes,48,0.8727,1.1458
330,7zipyjyfp8,round1,mobile,2026-06-18 15:17:20.232428+00,26,25,25,1,112140,112.14,4485.6,650,5,0.2,100020,12120,0.8919,94814,6,6,spiral,0.9993,18-29,I have a rough approach but adapt as I go,Regularly,Right,Rarely or never,25,1.0,1.0
331,nkshgabpql,tutorial,mobile,2026-06-18 15:17:26.759545+00,32,31,32,0,17868,17.868,576.4,346,3,0.0968,6875,10993,0.3848,3635,6,6,snake,0.6055,30-44,I just start and figure it out,Sometimes,Right,Rarely or never,31,1.0,1.0
332,ffkg7a8vtj,bonus2,mobile,2026-06-18 15:17:54.078832+00,127,126,121,6,91759,91.759,728.2,438,17,0.1349,41618,50141,0.4536,6087,12,12,random_walk,0.9992,18-29,I have a rough approach but adapt as I go,Regularly,Right,Rarely or never,120,0.9524,1.05
333,6o4dycfqtu,bonus1,mobile,2026-06-18 15:18:33.209025+00,91,90,84,7,46416,46.416,515.7,377,10,0.1111,15773,30643,0.3398,3164,10,10,snake,0.997,30-44,I just start and figure it out,Sometimes,Right,Sometimes,86,0.9556,1.0465
334,nkshgabpql,round1,mobile,2026-06-18 15:18:52.245871+00,28,27,25,3,49761,49.761,1843.0,636,8,0.2963,40620,9141,0.8163,27113,6,6,spiral,0.9394,30-44,I just start and figure it out,Sometimes,Right,Rarely or never,25,0.9259,1.08
335,7zipyjyfp8,round2,mobile,2026-06-18 15:18:52.323086+00,49,48,49,0,87834,87.834,1829.9,766,16,0.3333,70430,17404,0.8019,28814,8,8,random_walk,0.8172,18-29,I have a rough approach but adapt as I go,Regularly,Right,Rarely or never,48,1.0,1.0
336,77c671dcme,tutorial,mobile,2026-06-18 15:19:04.823549+00,37,36,32,5,20579,20.579,571.6,437,6,0.1667,7859,12720,0.3819,1644,6,6,snake,0.9757,,,,,,31,0.8611,1.1613
337,53xqq0whs6,round2,mobile,2026-06-18 15:19:05.921517+00,51,50,49,2,149174,149.174,2983.5,450,11,0.22,134058,15116,0.8987,59247,8,8,random_walk,0.6421,18-29,I follow a set pattern,Sometimes,Right,Sometimes,48,0.96,1.0417
338,f391pn8giu,tutorial,mobile,2026-06-18 15:19:12.201639+00,35,34,32,3,11814,11.814,347.5,316,0,0.0,0,11814,0.0,948,6,6,snake,0.5537,18-29,I have a rough approach but adapt as I go,Rarely or never,Left,Regularly,31,0.9118,1.0968
339,oty3wfxg1f,tutorial,desktop,2026-06-18 15:19:12.79553+00,32,31,32,0,11688,11.688,377.0,242,3,0.0968,4315,7373,0.3692,1749,6,6,snake,0.506,,,,,,31,1.0,1.0
340,k2nehxnqee,bonus3,desktop,2026-06-18 15:19:23.971122+00,190,189,176,14,179152,179.152,947.9,433,29,0.1534,112385,66767,0.6273,17524,14,14,snake,0.9996,60+,I have a rough approach but adapt as I go,Sometimes,Right,Rarely or never,176,0.9312,1.0739
341,nkshgabpql,round2,mobile,2026-06-18 15:19:24.89873+00,59,58,49,10,28693,28.693,494.7,334,6,0.1034,9309,19384,0.3244,2930,8,8,spiral,0.6467,30-44,I just start and figure it out,Sometimes,Right,Rarely or never,48,0.8276,1.2083
342,f391pn8giu,round1,mobile,2026-06-18 15:19:28.938561+00,26,25,25,1,13247,13.247,529.9,399,3,0.12,3483,9764,0.2629,1338,6,6,spiral,0.9993,18-29,I have a rough approach but adapt as I go,Rarely or never,Left,Regularly,25,1.0,1.0
343,oty3wfxg1f,round1,desktop,2026-06-18 15:19:30.935661+00,26,25,25,1,12060,12.06,482.4,287,2,0.08,4447,7613,0.3687,2626,6,6,spiral,0.9993,,,,,,25,1.0,1.0
